dep;jour;P;cl_age90;pop
01;2020-06-08;0;49;89678
01;2020-06-08;0;59;89791
01;2020-06-08;0;69;73500
01;2020-06-08;0;79;51011
01;2020-06-08;0;89;26830
01;2020-06-08;0;90;7395
01;2020-06-08;0;0;656955
01;2020-06-09;0;09;83001
01;2020-06-09;0;19;84665
01;2020-06-09;0;29;65496
01;2020-06-09;0;39;85588
01;2020-06-09;1;49;89678
01;2020-06-09;0;59;89791
01;2020-06-09;0;69;73500
01;2020-06-09;0;79;51011
01;2020-06-09;0;89;26830
01;2020-06-09;0;90;7395
01;2020-06-09;1;0;656955
01;2020-06-10;0;09;83001
01;2020-06-10;0;19;84665
01;2020-06-10;0;29;65496
01;2020-06-10;0;39;85588
01;2020-06-10;0;49;89678
01;2020-06-10;0;59;89791
01;2020-06-10;0;69;73500
01;2020-06-10;0;79;51011
01;2020-06-10;0;89;26830
01;2020-06-10;1;90;7395
01;2020-06-10;1;0;656955
01;2020-06-11;0;09;83001
01;2020-06-11;2;19;84665
01;2020-06-11;2;29;65496
01;2020-06-11;0;39;85588
01;2020-06-11;1;49;89678
01;2020-06-11;0;59;89791
01;2020-06-11;3;69;73500
01;2020-06-11;0;79;51011
01;2020-06-11;0;89;26830
01;2020-06-11;0;90;7395
01;2020-06-11;8;0;656955
01;2020-06-12;0;09;83001
01;2020-06-12;1;19;84665
01;2020-06-12;2;29;65496
01;2020-06-12;0;39;85588
01;2020-06-12;1;49;89678
01;2020-06-12;0;59;89791
01;2020-06-12;0;69;73500
01;2020-06-12;0;79;51011
01;2020-06-12;0;89;26830
01;2020-06-12;0;90;7395
01;2020-06-12;4;0;656955
01;2020-06-13;0;09;83001
01;2020-06-13;0;19;84665
01;2020-06-13;0;29;65496
01;2020-06-13;0;39;85588
01;2020-06-13;0;49;89678
01;2020-06-13;0;59;89791
01;2020-06-13;0;69;73500
01;2020-06-13;0;79;51011
01;2020-06-13;0;89;26830
01;2020-06-13;0;90;7395
01;2020-06-13;0;0;656955
01;2020-06-14;0;09;83001
01;2020-06-14;0;19;84665
01;2020-06-14;0;29;65496
01;2020-06-14;0;39;85588
01;2020-06-14;0;49;89678
01;2020-06-14;1;59;89791
01;2020-06-14;0;69;73500
01;2020-06-14;0;79;51011
01;2020-06-14;0;89;26830
01;2020-06-14;0;90;7395
01;2020-06-14;1;0;656955
01;2020-06-15;0;09;83001
01;2020-06-15;0;19;84665
01;2020-06-15;0;29;65496
01;2020-06-15;0;39;85588
01;2020-06-15;0;49;89678
01;2020-06-15;0;59;89791
01;2020-06-15;0;69;73500
01;2020-06-15;0;79;51011
01;2020-06-15;0;89;26830
01;2020-06-15;0;90;7395
01;2020-06-15;0;0;656955
01;2020-06-16;0;09;83001
01;2020-06-16;1;19;84665
01;2020-06-16;1;29;65496
01;2020-06-16;0;39;85588
01;2020-06-16;0;49;89678
01;2020-06-16;0;59;89791
01;2020-06-16;0;69;73500
01;2020-06-16;0;79;51011
01;2020-06-16;1;89;26830
01;2020-06-16;0;90;7395
01;2020-06-16;3;0;656955
01;2020-06-17;0;09;83001
01;2020-06-17;0;19;84665
01;2020-06-17;0;29;65496
01;2020-06-17;2;39;85588
01;2020-06-17;1;49;89678
01;2020-06-17;0;59;89791
01;2020-06-17;0;69;73500
01;2020-06-17;0;79;51011
01;2020-06-17;0;89;26830
01;2020-06-17;2;90;7395
01;2020-06-17;5;0;656955
01;2020-06-18;1;09;83001
01;2020-06-18;0;19;84665
01;2020-06-18;1;29;65496
01;2020-06-18;2;39;85588
01;2020-06-18;0;49;89678
01;2020-06-18;0;59;89791
01;2020-06-18;0;69;73500
01;2020-06-18;0;79;51011
01;2020-06-18;0;89;26830
01;2020-06-18;0;90;7395
01;2020-06-18;4;0;656955
01;2020-06-19;0;09;83001
01;2020-06-19;0;19;84665
01;2020-06-19;0;29;65496
01;2020-06-19;1;39;85588
01;2020-06-19;0;49;89678
01;2020-06-19;0;59;89791
01;2020-06-19;1;69;73500
01;2020-06-19;0;79;51011
01;2020-06-19;1;89;26830
01;2020-06-19;0;90;7395
01;2020-06-19;3;0;656955
01;2020-06-20;0;09;83001
01;2020-06-20;0;19;84665
01;2020-06-20;0;29;65496
01;2020-06-20;0;39;85588
01;2020-06-20;1;49;89678
01;2020-06-20;1;59;89791
01;2020-06-20;1;69;73500
01;2020-06-20;1;79;51011
01;2020-06-20;0;89;26830
01;2020-06-20;0;90;7395
01;2020-06-20;4;0;656955
01;2020-06-21;0;09;83001
01;2020-06-21;0;19;84665
01;2020-06-21;0;29;65496
01;2020-06-21;0;39;85588
01;2020-06-21;0;49;89678
01;2020-06-21;0;59;89791
01;2020-06-21;0;69;73500
01;2020-06-21;0;79;51011
01;2020-06-21;0;89;26830
01;2020-06-21;0;90;7395
01;2020-06-21;0;0;656955
01;2020-06-22;0;09;83001
01;2020-06-22;2;19;84665
01;2020-06-22;0;29;65496
01;2020-06-22;0;39;85588
01;2020-06-22;1;49;89678
01;2020-06-22;1;59;89791
01;2020-06-22;0;69;73500
01;2020-06-22;0;79;51011
01;2020-06-22;1;89;26830
01;2020-06-22;0;90;7395
01;2020-06-22;5;0;656955
01;2020-06-23;1;09;83001
01;2020-06-23;1;19;84665
01;2020-06-23;3;29;65496
01;2020-06-23;0;39;85588
01;2020-06-23;0;49;89678
01;2020-06-23;2;59;89791
01;2020-06-23;0;69;73500
01;2020-06-23;1;79;51011
01;2020-06-23;2;89;26830
01;2020-06-23;0;90;7395
01;2020-06-23;10;0;656955
01;2020-06-24;0;09;83001
01;2020-06-24;0;19;84665
01;2020-06-24;1;29;65496
01;2020-06-24;0;39;85588
01;2020-06-24;1;49;89678
01;2020-06-24;0;59;89791
01;2020-06-24;0;69;73500
01;2020-06-24;0;79;51011
01;2020-06-24;0;89;26830
01;2020-06-24;0;90;7395
01;2020-06-24;2;0;656955
01;2020-06-25;0;09;83001
01;2020-06-25;0;19;84665
01;2020-06-25;3;29;65496
01;2020-06-25;0;39;85588
01;2020-06-25;0;49;89678
01;2020-06-25;0;59;89791
01;2020-06-25;0;69;73500
01;2020-06-25;1;79;51011
01;2020-06-25;1;89;26830
01;2020-06-25;0;90;7395
01;2020-06-25;5;0;656955
01;2020-06-26;0;09;83001
01;2020-06-26;3;19;84665
01;2020-06-26;0;29;65496
01;2020-06-26;1;39;85588
01;2020-06-26;2;49;89678
01;2020-06-26;1;59;89791
01;2020-06-26;0;69;73500
01;2020-06-26;0;79;51011
01;2020-06-26;0;89;26830
01;2020-06-26;1;90;7395
01;2020-06-26;8;0;656955
01;2020-06-27;1;09;83001
01;2020-06-27;0;19;84665
01;2020-06-27;0;29;65496
01;2020-06-27;0;39;85588
01;2020-06-27;2;49;89678
01;2020-06-27;2;59;89791
01;2020-06-27;1;69;73500
01;2020-06-27;0;79;51011
01;2020-06-27;0;89;26830
01;2020-06-27;0;90;7395
01;2020-06-27;6;0;656955
01;2020-06-28;0;09;83001
01;2020-06-28;0;19;84665
01;2020-06-28;0;29;65496
01;2020-06-28;0;39;85588
01;2020-06-28;0;49;89678
01;2020-06-28;0;59;89791
01;2020-06-28;0;69;73500
01;2020-06-28;0;79;51011
01;2020-06-28;0;89;26830
01;2020-06-28;0;90;7395
01;2020-06-28;0;0;656955
01;2020-06-29;1;09;83001
01;2020-06-29;1;19;84665
01;2020-06-29;0;29;65496
01;2020-06-29;3;39;85588
01;2020-06-29;0;49;89678
01;2020-06-29;0;59;89791
01;2020-06-29;1;69;73500
01;2020-06-29;0;79;51011
01;2020-06-29;0;89;26830
01;2020-06-29;0;90;7395
01;2020-06-29;6;0;656955
01;2020-06-30;0;09;83001
01;2020-06-30;2;19;84665
01;2020-06-30;1;29;65496
01;2020-06-30;2;39;85588
01;2020-06-30;1;49;89678
01;2020-06-30;1;59;89791
01;2020-06-30;0;69;73500
01;2020-06-30;0;79;51011
01;2020-06-30;0;89;26830
01;2020-06-30;0;90;7395
01;2020-06-30;8;0;656955
01;2020-07-01;0;09;83001
01;2020-07-01;1;19;84665
01;2020-07-01;0;29;65496
01;2020-07-01;0;39;85588
01;2020-07-01;1;49;89678
01;2020-07-01;0;59;89791
01;2020-07-01;0;69;73500
01;2020-07-01;0;79;51011
01;2020-07-01;1;89;26830
01;2020-07-01;0;90;7395
01;2020-07-01;3;0;656955
01;2020-07-02;0;09;83001
01;2020-07-02;0;19;84665
01;2020-07-02;0;29;65496
01;2020-07-02;0;39;85588
01;2020-07-02;0;49;89678
01;2020-07-02;0;59;89791
01;2020-07-02;0;69;73500
01;2020-07-02;0;79;51011
01;2020-07-02;0;89;26830
01;2020-07-02;0;90;7395
01;2020-07-02;0;0;656955
01;2020-07-03;1;09;83001
01;2020-07-03;0;19;84665
01;2020-07-03;0;29;65496
01;2020-07-03;0;39;85588
01;2020-07-03;0;49;89678
01;2020-07-03;1;59;89791
01;2020-07-03;0;69;73500
01;2020-07-03;0;79;51011
01;2020-07-03;0;89;26830
01;2020-07-03;1;90;7395
01;2020-07-03;3;0;656955
01;2020-07-04;0;09;83001
01;2020-07-04;0;19;84665
01;2020-07-04;0;29;65496
01;2020-07-04;1;39;85588
01;2020-07-04;0;49;89678
01;2020-07-04;0;59;89791
01;2020-07-04;0;69;73500
01;2020-07-04;0;79;51011
01;2020-07-04;0;89;26830
01;2020-07-04;0;90;7395
01;2020-07-04;1;0;656955
01;2020-07-05;0;09;83001
01;2020-07-05;0;19;84665
01;2020-07-05;0;29;65496
01;2020-07-05;0;39;85588
01;2020-07-05;0;49;89678
01;2020-07-05;0;59;89791
01;2020-07-05;0;69;73500
01;2020-07-05;0;79;51011
01;2020-07-05;0;89;26830
01;2020-07-05;0;90;7395
01;2020-07-05;0;0;656955
01;2020-07-06;0;09;83001
01;2020-07-06;1;19;84665
01;2020-07-06;0;29;65496
01;2020-07-06;0;39;85588
01;2020-07-06;0;49;89678
01;2020-07-06;0;59;89791
01;2020-07-06;0;69;73500
01;2020-07-06;0;79;51011
01;2020-07-06;1;89;26830
01;2020-07-06;0;90;7395
01;2020-07-06;2;0;656955
01;2020-07-07;1;09;83001
01;2020-07-07;1;19;84665
01;2020-07-07;2;29;65496
01;2020-07-07;0;39;85588
01;2020-07-07;0;49;89678
01;2020-07-07;0;59;89791
01;2020-07-07;1;69;73500
01;2020-07-07;0;79;51011
01;2020-07-07;0;89;26830
01;2020-07-07;0;90;7395
01;2020-07-07;5;0;656955
01;2020-07-08;0;09;83001
01;2020-07-08;0;19;84665
01;2020-07-08;0;29;65496
01;2020-07-08;0;39;85588
01;2020-07-08;2;49;89678
01;2020-07-08;0;59;89791
01;2020-07-08;0;69;73500
01;2020-07-08;1;79;51011
01;2020-07-08;0;89;26830
01;2020-07-08;0;90;7395
01;2020-07-08;3;0;656955
01;2020-07-09;0;09;83001
01;2020-07-09;0;19;84665
01;2020-07-09;1;29;65496
01;2020-07-09;1;39;85588
01;2020-07-09;0;49;89678
01;2020-07-09;1;59;89791
01;2020-07-09;0;69;73500
01;2020-07-09;0;79;51011
01;2020-07-09;0;89;26830
01;2020-07-09;0;90;7395
01;2020-07-09;3;0;656955
01;2020-07-10;0;09;83001
01;2020-07-10;0;19;84665
01;2020-07-10;1;29;65496
01;2020-07-10;1;39;85588
01;2020-07-10;0;49;89678
01;2020-07-10;0;59;89791
01;2020-07-10;1;69;73500
01;2020-07-10;0;79;51011
01;2020-07-10;0;89;26830
01;2020-07-10;0;90;7395
01;2020-07-10;3;0;656955
01;2020-07-11;0;09;83001
01;2020-07-11;0;19;84665
01;2020-07-11;0;29;65496
01;2020-07-11;0;39;85588
01;2020-07-11;0;49;89678
01;2020-07-11;0;59;89791
01;2020-07-11;0;69;73500
01;2020-07-11;0;79;51011
01;2020-07-11;0;89;26830
01;2020-07-11;0;90;7395
01;2020-07-11;0;0;656955
01;2020-07-12;0;09;83001
01;2020-07-12;0;19;84665
01;2020-07-12;0;29;65496
01;2020-07-12;0;39;85588
01;2020-07-12;0;49;89678
01;2020-07-12;0;59;89791
01;2020-07-12;0;69;73500
01;2020-07-12;0;79;51011
01;2020-07-12;1;89;26830
01;2020-07-12;0;90;7395
01;2020-07-12;1;0;656955
01;2020-07-13;0;09;83001
01;2020-07-13;0;19;84665
01;2020-07-13;0;29;65496
01;2020-07-13;0;39;85588
01;2020-07-13;0;49;89678
01;2020-07-13;0;59;89791
01;2020-07-13;0;69;73500
01;2020-07-13;0;79;51011
01;2020-07-13;0;89;26830
01;2020-07-13;0;90;7395
01;2020-07-13;0;0;656955
01;2020-07-14;0;09;83001
01;2020-07-14;0;19;84665
01;2020-07-14;0;29;65496
01;2020-07-14;0;39;85588
01;2020-07-14;0;49;89678
01;2020-07-14;0;59;89791
01;2020-07-14;0;69;73500
01;2020-07-14;0;79;51011
01;2020-07-14;0;89;26830
01;2020-07-14;0;90;7395
01;2020-07-14;0;0;656955
01;2020-07-15;0;09;83001
01;2020-07-15;1;19;84665
01;2020-07-15;0;29;65496
01;2020-07-15;1;39;85588
01;2020-07-15;1;49;89678
01;2020-07-15;0;59;89791
01;2020-07-15;0;69;73500
01;2020-07-15;0;79;51011
01;2020-07-15;0;89;26830
01;2020-07-15;0;90;7395
01;2020-07-15;3;0;656955
01;2020-07-16;0;09;83001
01;2020-07-16;0;19;84665
01;2020-07-16;0;29;65496
01;2020-07-16;0;39;85588
01;2020-07-16;0;49;89678
01;2020-07-16;0;59;89791
01;2020-07-16;0;69;73500
01;2020-07-16;0;79;51011
01;2020-07-16;0;89;26830
01;2020-07-16;0;90;7395
01;2020-07-16;0;0;656955
01;2020-07-17;0;09;83001
01;2020-07-17;0;19;84665
01;2020-07-17;0;29;65496
01;2020-07-17;2;39;85588
01;2020-07-17;0;49;89678
01;2020-07-17;1;59;89791
01;2020-07-17;2;69;73500
01;2020-07-17;0;79;51011
01;2020-07-17;1;89;26830
01;2020-07-17;0;90;7395
01;2020-07-17;6;0;656955
01;2020-07-18;0;09;83001
01;2020-07-18;0;19;84665
01;2020-07-18;0;29;65496
01;2020-07-18;1;39;85588
01;2020-07-18;2;49;89678
01;2020-07-18;0;59;89791
01;2020-07-18;0;69;73500
01;2020-07-18;0;79;51011
01;2020-07-18;1;89;26830
01;2020-07-18;0;90;7395
01;2020-07-18;4;0;656955
01;2020-07-19;0;09;83001
01;2020-07-19;0;19;84665
01;2020-07-19;0;29;65496
01;2020-07-19;0;39;85588
01;2020-07-19;0;49;89678
01;2020-07-19;0;59;89791
01;2020-07-19;0;69;73500
01;2020-07-19;0;79;51011
01;2020-07-19;0;89;26830
01;2020-07-19;0;90;7395
01;2020-07-19;0;0;656955
01;2020-07-20;0;09;83001
01;2020-07-20;0;19;84665
01;2020-07-20;0;29;65496
01;2020-07-20;0;39;85588
01;2020-07-20;0;49;89678
01;2020-07-20;1;59;89791
01;2020-07-20;1;69;73500
01;2020-07-20;1;79;51011
01;2020-07-20;0;89;26830
01;2020-07-20;0;90;7395
01;2020-07-20;3;0;656955
01;2020-07-21;0;09;83001
01;2020-07-21;0;19;84665
01;2020-07-21;5;29;65496
01;2020-07-21;2;39;85588
01;2020-07-21;1;49;89678
01;2020-07-21;1;59;89791
01;2020-07-21;0;69;73500
01;2020-07-21;0;79;51011
01;2020-07-21;1;89;26830
01;2020-07-21;0;90;7395
01;2020-07-21;10;0;656955
01;2020-07-22;0;09;83001
01;2020-07-22;0;19;84665
01;2020-07-22;2;29;65496
01;2020-07-22;2;39;85588
01;2020-07-22;1;49;89678
01;2020-07-22;0;59;89791
01;2020-07-22;0;69;73500
01;2020-07-22;0;79;51011
01;2020-07-22;0;89;26830
01;2020-07-22;0;90;7395
01;2020-07-22;5;0;656955
01;2020-07-23;0;09;83001
01;2020-07-23;0;19;84665
01;2020-07-23;0;29;65496
01;2020-07-23;4;39;85588
01;2020-07-23;2;49;89678
01;2020-07-23;0;59;89791
01;2020-07-23;0;69;73500
01;2020-07-23;0;79;51011
01;2020-07-23;0;89;26830
01;2020-07-23;0;90;7395
01;2020-07-23;6;0;656955
01;2020-07-24;0;09;83001
01;2020-07-24;2;19;84665
01;2020-07-24;5;29;65496
01;2020-07-24;2;39;85588
01;2020-07-24;3;49;89678
01;2020-07-24;3;59;89791
01;2020-07-24;4;69;73500
01;2020-07-24;1;79;51011
01;2020-07-24;0;89;26830
01;2020-07-24;1;90;7395
01;2020-07-24;21;0;656955
01;2020-07-25;0;09;83001
01;2020-07-25;0;19;84665
01;2020-07-25;1;29;65496
01;2020-07-25;0;39;85588
01;2020-07-25;0;49;89678
01;2020-07-25;1;59;89791
01;2020-07-25;0;69;73500
01;2020-07-25;0;79;51011
01;2020-07-25;0;89;26830
01;2020-07-25;0;90;7395
01;2020-07-25;2;0;656955
01;2020-07-26;0;09;83001
01;2020-07-26;0;19;84665
01;2020-07-26;1;29;65496
01;2020-07-26;1;39;85588
01;2020-07-26;0;49;89678
01;2020-07-26;0;59;89791
01;2020-07-26;0;69;73500
01;2020-07-26;0;79;51011
01;2020-07-26;0;89;26830
01;2020-07-26;0;90;7395
01;2020-07-26;2;0;656955
01;2020-07-27;1;09;83001
01;2020-07-27;1;19;84665
01;2020-07-27;2;29;65496
01;2020-07-27;4;39;85588
01;2020-07-27;2;49;89678
01;2020-07-27;3;59;89791
01;2020-07-27;0;69;73500
01;2020-07-27;0;79;51011
01;2020-07-27;0;89;26830
01;2020-07-27;0;90;7395
01;2020-07-27;13;0;656955
01;2020-07-28;1;09;83001
01;2020-07-28;0;19;84665
01;2020-07-28;4;29;65496
01;2020-07-28;2;39;85588
01;2020-07-28;0;49;89678
01;2020-07-28;0;59;89791
01;2020-07-28;1;69;73500
01;2020-07-28;2;79;51011
01;2020-07-28;0;89;26830
01;2020-07-28;0;90;7395
01;2020-07-28;10;0;656955
01;2020-07-29;0;09;83001
01;2020-07-29;0;19;84665
01;2020-07-29;2;29;65496
01;2020-07-29;4;39;85588
01;2020-07-29;0;49;89678
01;2020-07-29;1;59;89791
01;2020-07-29;0;69;73500
01;2020-07-29;0;79;51011
01;2020-07-29;0;89;26830
01;2020-07-29;0;90;7395
01;2020-07-29;7;0;656955
01;2020-07-30;2;09;83001
01;2020-07-30;1;19;84665
01;2020-07-30;2;29;65496
01;2020-07-30;2;39;85588
01;2020-07-30;4;49;89678
01;2020-07-30;3;59;89791
01;2020-07-30;1;69;73500
01;2020-07-30;2;79;51011
01;2020-07-30;0;89;26830
01;2020-07-30;0;90;7395
01;2020-07-30;17;0;656955
01;2020-07-31;1;09;83001
01;2020-07-31;1;19;84665
01;2020-07-31;7;29;65496
